"","countytown","ref10","ref11","ref12","ref13","ref14","ref15","ref16","ref7","ref8","ref9","people","elderSum","marriedSum","elderPerc","marriedPerc","ageMedian","seven_n","univPerc","countytown.id","tks.sum","kmt.rate","dpp.rate","other.rate"
"64","屏東縣春日鄉",0.739505462909718,0.654618473895582,0.626430205949657,0.358135731807032,0.31281679942071,0.323529411764706,0.527027027027027,0.738921001926782,0.71539206195547,0.699416342412451,3808,549,2690,0.144170168067227,0.70640756302521,42.394578313253,1,0.0803484995159729,"10013310",3027,57.38,40.27,2.35
"65","屏東縣東港鎮",0.722774150818431,0.646060777919561,0.556422625804011,0.50406198638178,0.271510242972844,0.288914307501668,0.500669600153052,0.699303052150925,0.651810584958217,0.664197412092934,38234,6694,26738,0.175079771930742,0.699325207930115,44.8124052551794,8,0.179145357151514,"10013030",24205,47.04,50.58,2.38
"66","屏東縣枋寮鄉",0.728495327918959,0.642782699322564,0.561496397882128,0.480442614513639,0.257052186177715,0.285790932665653,0.509666548421426,0.684248103525212,0.65037459864431,0.647383410466358,20836,4683,14980,0.22475523133039,0.718947974659244,49.1167413213886,4,0.14157811440199,"10013160",15137,50.44,47.53,2.03
"67","屏東縣枋山鄉",0.723143759873618,0.638516179952644,0.570693069306931,0.515631030490158,0.277010560519903,0.283935742971888,0.527115858668858,0.701120797011208,0.672772689425479,0.656809662640566,4690,1010,3431,0.215351812366738,0.731556503198294,48.22265625,5,0.0965366242038217,"10013250",3887,35.63,62.52,1.85
"68","屏東縣林邊鄉",0.725670759436107,0.650549201675914,0.583456090651558,0.540236353404615,0.268931594600778,0.316821465428277,0.505732484076433,0.684980834010919,0.648033609522698,0.65088413215449,15228,3626,11037,0.238114000525348,0.72478329393223,48.933284457478,2,0.156083673721995,"10013190",11268,38.84,59.45,1.71
"69","屏東縣泰武鄉",0.75856105153926,0.678978253365551,0.608981001727116,0.296496930299747,0.224795154969719,0.248843004627981,0.521642619311876,0.702632554690397,0.664317507418398,0.655925925925926,4210,538,2982,0.127790973871734,0.708313539192399,43.179012345679,0,0.0905869324473976,"10013290",3578,46.62,52.21,1.17
"70","屏東縣滿州鄉",0.723705371502091,0.630491803278688,0.547774869109948,0.478384348374882,0.288080545631699,0.315157416423239,0.531157270029674,0.735284336548055,0.698125616573496,0.709752839011356,6921,1414,4970,0.204305736165294,0.718104320184944,49.4469696969697,1,0.103396739130435,"10013240",5292,37.68,60.64,1.68
"71","屏東縣潮州鎮",0.728492730812244,0.668697358737427,0.593605814380793,0.477485166219621,0.279422680412371,0.297200198216055,0.538253638253638,0.728409667061011,0.695061624884715,0.700147213459516,45081,8445,31122,0.187329473614161,0.690357356757836,46.408273381295,11,0.215630241659937,"10013020",28822,43.62,54.22,2.16
"72","屏東縣牡丹鄉",0.720412595005429,0.654240950837385,0.562634989200864,0.349579831932773,0.292940522512507,0.318257956448911,0.549684089603676,0.778290993071594,0.753899480069324,0.72353961827646,4200,650,2961,0.154761904761905,0.705,45.9399477806788,0,0.123014071720381,"10013330",3198,55.41,42.46,2.13
"73","屏東縣獅子鄉",0.796910324039186,0.729668674698795,0.682211357653253,0.267241379310345,0.224989078200087,0.230972283326001,0.553042541733979,0.772054794520548,0.75809105869446,0.73391494002181,4081,560,2945,0.137221269296741,0.721636853712325,45.0887978142077,0,0.0858457997698504,"10013320",3424,64.02,33.88,2.1
"74","屏東縣琉球鄉",0.756716733657711,0.677602523659306,0.591501893142617,0.421993271656855,0.223673125526537,0.218927444794953,0.5414686825054,0.721361553567532,0.674561603279435,0.673567977915804,10401,1905,7693,0.183155465820594,0.739640419190462,46.0009813542689,3,0.133417356859921,"10013220",6877,69.26,29.05,1.69
"75","屏東縣瑪家鄉",0.764985476630578,0.713703099510604,0.643879173290938,0.318972895863053,0.241591928251121,0.246982879595846,0.570514773073408,0.731215638362859,0.715462031107045,0.690454406831351,5493,760,3771,0.138357910067358,0.686510103768433,44.0625,0,0.109353741496599,"10013280",4572,51.4,47.18,1.42
"76","屏東縣萬丹鄉",0.71913905887318,0.648037796884311,0.576859151928404,0.496847793455419,0.281591868377983,0.310818965517241,0.506959898765109,0.698733731973268,0.656054876440067,0.673940780500682,42129,7879,29691,0.187020817014408,0.704763939329203,45.8868152524168,8,0.188317310894518,"10013050",29002,38.87,58.29,2.84
"77","屏東縣萬巒鄉",0.727563760537829,0.659093333333333,0.540995841774176,0.529609055654544,0.282675103643901,0.307431693989071,0.500895054822108,0.67536851580961,0.638533960995293,0.657046603032004,17499,3913,12509,0.223612777873021,0.71484084804846,49.4077181208054,4,0.162396850223828,"10013120",12309,31.41,66.98,1.61
"78","屏東縣竹田鄉",0.716392704345868,0.624986081728093,0.566960252935863,0.510842834786497,0.27883295194508,0.358097395243488,0.507730786721237,0.696796990767126,0.657598178713717,0.668412662263721,14954,3460,10653,0.231376220409255,0.712384646248495,50.0201884253028,1,0.178073510773131,"10013140",11150,36.23,61.83,1.94
"79","屏東縣車城鄉",0.702677459526775,0.59350608804246,0.529136802742287,0.524142119647738,0.30759453447728,0.32556654963294,0.509957557949723,0.716126900198282,0.669202778696659,0.660820648577101,7368,1801,5300,0.24443539630836,0.719326818675353,50.4577464788732,3,0.108867876309737,"10013230",5304,33.67,64.93,1.4
"80","屏東縣里港鄉",0.687333063537029,0.619597249508841,0.548234911338864,0.524173234744454,0.300164609053498,0.29983416252073,0.490673489600528,0.683109118086697,0.637711162636635,0.649303251493032,21546,4390,15502,0.203750116030818,0.719483894922491,46.5291806958474,4,0.187445548004879,"10013090",15456,34.75,62.71,2.54
"81","屏東縣長治鄉",0.70800357855619,0.644752256908552,0.569847090569432,0.463997795080273,0.303602295512688,0.313092191714503,0.521288515406163,0.697035379667179,0.660851898556817,0.664078892152749,25560,4941,17828,0.19330985915493,0.697496087636933,47.6253387533875,5,0.211481030859418,"10013060",17326,40.05,57.75,2.2
"82","屏東縣霧臺鄉",0.762033288349078,0.723234118169702,0.695402298850575,0.283422459893048,0.227973568281938,0.239358761746821,0.519898926089703,0.737347853939782,0.709884467265725,0.685987261146497,2876,472,1988,0.164116828929068,0.691237830319889,46.6609589041096,0,0.130651595744681,"10013270",2490,45.34,52.81,1.85
"83","屏東縣高樹鄉",0.688940092165899,0.610358492304857,0.537606520933679,0.538109084500837,0.286757136172204,0.304417143393041,0.508082921262838,0.666537829742004,0.629137144521013,0.637644787644788,21150,5673,15698,0.26822695035461,0.742222222222222,51.8812104787715,3,0.120024986614314,"10013110",15646,34.53,63.26,2.22
"84","屏東縣鹽埔鄉",0.720674674163046,0.631810863486145,0.55360824742268,0.473348635552155,0.280254230009448,0.295129926002409,0.531329642323578,0.706337347279599,0.665024630541872,0.674332865168539,21774,4264,15376,0.195829888858271,0.706163314044273,46.8972115910334,2,0.152583979328165,"10013100",15925,41.2,56.37,2.43
"85","屏東縣麟洛鄉",0.705642420122366,0.62563927719059,0.604159563586771,0.514661779406864,0.296018162766329,0.350624566273421,0.521870554765292,0.733009708737864,0.688060236643958,0.707128748428802,9716,2174,6854,0.223754631535611,0.705434335117332,50.0191675794085,2,0.23538054657655,"10013070",7126,35.45,62.31,2.25
"86","彰化縣二林鎮",0.730242360379347,0.66205254805149,0.578972740818652,0.40354563361786,0.249118787451533,0.282805130691585,0.52713315880552,0.739655558040707,0.690028965154042,0.701274396221371,41497,9441,30402,0.227510422440176,0.732631274549967,46.9102087503574,6,0.166524854455889,"10007200",28764,54.42,37.78,7.8
